# Train        Test        
    0.212120     0.279600 
    0.307860     0.341300 
    0.357120     0.362600 
    0.417940     0.459400 
    0.427280     0.435300 
    0.430680     0.444400 
    0.434780     0.455000 
    0.439760     0.465900 
    0.445460     0.480000 
    0.449860     0.466500 
