# Train        Test        
    0.016585     0.014540 
    0.015457     0.015285 
    0.016786     0.018048 
    0.015718     0.015217 
    0.015297     0.015141 
    0.014725     0.014006 
    0.014115     0.013637 
    0.014063     0.014007 
    0.014072     0.014493 
    0.014046     0.013440 
