# Train        Test        
    0.234120     0.293000 
    0.298260     0.320400 
    0.251940     0.268300 
    0.284100     0.320700 
    0.300560     0.326600 
    0.325640     0.349400 
    0.354480     0.371300 
    0.357440     0.405200 
    0.357500     0.381600 
    0.361140     0.392700 
